instance,algorithm,random_seed,epsilon,horizon,regret
instance-1,ucb,5,0,3200,2
instance-1,ucb,6,0,3200,47
instance-1,ucb,7,0,3200,21
instance-1,ucb,8,0,3200,49
instance-1,ucb,9,0,3200,7
instance-1,ucb,10,0,3200,13
instance-1,ucb,11,0,3200,10
instance-1,ucb,12,0,3200,53
instance-1,ucb,13,0,3200,34
instance-1,ucb,14,0,3200,51
instance-1,ucb,15,0,3200,44
instance-1,ucb,16,0,3200,63
instance-1,ucb,17,0,3200,27
instance-1,ucb,18,0,3200,11
instance-1,ucb,19,0,3200,-12
instance-1,ucb,20,0,3200,49
instance-1,ucb,21,0,3200,7
instance-1,ucb,22,0,3200,42
instance-1,ucb,23,0,3200,23
instance-1,ucb,24,0,3200,57
instance-1,ucb,25,0,3200,55
instance-1,ucb,26,0,3200,39
instance-1,ucb,27,0,3200,50
instance-1,ucb,28,0,3200,65
instance-1,ucb,29,0,3200,27
instance-1,ucb,30,0,3200,37
instance-1,ucb,31,0,3200,63
instance-1,ucb,32,0,3200,25
instance-1,ucb,33,0,3200,49
instance-1,ucb,34,0,3200,23
instance-1,ucb,35,0,3200,1
instance-1,ucb,36,0,3200,48
instance-1,ucb,37,0,3200,36
instance-1,ucb,38,0,3200,75
instance-1,ucb,39,0,3200,6
instance-1,ucb,40,0,3200,1
instance-1,ucb,41,0,3200,16
instance-1,ucb,42,0,3200,37
instance-1,ucb,43,0,3200,11
instance-1,ucb,44,0,3200,11
instance-1,ucb,45,0,3200,40
instance-1,ucb,46,0,3200,36
instance-1,ucb,47,0,3200,23
instance-1,ucb,48,0,3200,64
instance-1,ucb,49,0,3200,20
instance-1,ucb,0,0,12800,11
instance-1,ucb,1,0,12800,77
instance-1,ucb,2,0,12800,-16
instance-1,ucb,3,0,12800,87
instance-1,ucb,4,0,12800,71
instance-1,ucb,5,0,12800,44
instance-1,ucb,6,0,12800,69
instance-1,ucb,7,0,12800,40
instance-1,ucb,8,0,12800,18
instance-1,ucb,9,0,12800,-20
instance-1,ucb,10,0,12800,-18
instance-1,ucb,11,0,12800,31
instance-1,ucb,12,0,12800,74
instance-1,ucb,13,0,12800,109
instance-1,ucb,14,0,12800,113
instance-1,ucb,15,0,12800,69
instance-1,ucb,16,0,12800,73
instance-1,ucb,17,0,12800,16
instance-1,ucb,18,0,12800,15
instance-1,ucb,19,0,12800,-27
instance-1,ucb,20,0,12800,27
instance-1,ucb,21,0,12800,25
instance-1,ucb,22,0,12800,97
instance-1,ucb,23,0,12800,42
instance-1,ucb,24,0,12800,-12
instance-1,ucb,25,0,12800,113
instance-1,ucb,26,0,12800,-16
instance-1,ucb,27,0,12800,91
instance-1,ucb,28,0,12800,89
instance-1,ucb,29,0,12800,39
instance-1,ucb,30,0,12800,-46
instance-1,ucb,31,0,12800,100
instance-1,ucb,32,0,12800,-5
instance-1,ucb,33,0,12800,89
instance-1,ucb,34,0,12800,35
instance-1,ucb,35,0,12800,5
instance-1,ucb,36,0,12800,-33
instance-1,ucb,37,0,12800,57
instance-1,ucb,38,0,12800,36
instance-1,ucb,39,0,12800,22
instance-1,ucb,40,0,12800,0
instance-1,ucb,41,0,12800,50
instance-1,ucb,42,0,12800,20
instance-1,ucb,43,0,12800,26
instance-1,ucb,44,0,12800,67
instance-1,ucb,45,0,12800,26
instance-1,ucb,46,0,12800,22
instance-1,ucb,47,0,12800,73
instance-1,ucb,48,0,12800,103
instance-1,ucb,49,0,12800,51
instance-1,ucb,0,0,51200,-19
instance-1,ucb,1,0,51200,206
instance-1,ucb,2,0,51200,-6
instance-1,ucb,3,0,51200,168
instance-1,ucb,4,0,51200,182
instance-1,ucb,5,0,51200,80
instance-1,ucb,6,0,51200,137
instance-1,ucb,7,0,51200,3
instance-1,ucb,8,0,51200,4
instance-1,ucb,9,0,51200,-108
instance-1,ucb,10,0,51200,-31
instance-1,ucb,11,0,51200,26
instance-1,ucb,12,0,51200,74
instance-1,ucb,13,0,51200,188
instance-1,ucb,14,0,51200,87
instance-1,ucb,15,0,51200,-25
instance-1,ucb,16,0,51200,107
instance-1,ucb,17,0,51200,-29
instance-1,ucb,18,0,51200,-12
instance-1,ucb,19,0,51200,-159
instance-1,ucb,20,0,51200,49
instance-1,ucb,21,0,51200,121
instance-1,ucb,22,0,51200,97
instance-1,ucb,23,0,51200,122
instance-1,ucb,24,0,51200,-40
instance-1,ucb,25,0,51200,150
instance-1,ucb,26,0,51200,-37
instance-1,ucb,27,0,51200,209
instance-1,ucb,28,0,51200,-11
instance-1,ucb,29,0,51200,-53
instance-1,ucb,30,0,51200,-29
instance-1,ucb,31,0,51200,214
instance-1,ucb,32,0,51200,-52
instance-1,ucb,33,0,51200,121
instance-1,ucb,34,0,51200,46
instance-1,ucb,35,0,51200,-137
instance-1,ucb,36,0,51200,-5
instance-1,ucb,37,0,51200,41
instance-1,ucb,38,0,51200,83
instance-1,ucb,39,0,51200,11
instance-1,ucb,40,0,51200,-39
instance-1,ucb,41,0,51200,71
instance-1,ucb,42,0,51200,-15
instance-1,ucb,43,0,51200,195
instance-1,ucb,44,0,51200,266
instance-1,ucb,45,0,51200,6
instance-1,ucb,46,0,51200,-51
instance-1,ucb,47,0,51200,219
instance-1,ucb,48,0,51200,150
instance-1,ucb,49,0,51200,-120
instance-1,ucb,0,0,204800,175
instance-1,ucb,1,0,204800,303
instance-1,ucb,2,0,204800,-291
instance-1,ucb,3,0,204800,125
instance-1,ucb,4,0,204800,335
instance-1,ucb,5,0,204800,-38
instance-1,ucb,6,0,204800,139
instance-1,ucb,7,0,204800,147
instance-1,ucb,8,0,204800,-87
instance-1,ucb,9,0,204800,-107
instance-1,ucb,10,0,204800,-43
instance-1,ucb,11,0,204800,-68
instance-1,ucb,12,0,204800,110
instance-1,ucb,13,0,204800,27
instance-1,ucb,14,0,204800,108
instance-1,ucb,15,0,204800,-153
instance-1,ucb,16,0,204800,198
instance-1,ucb,17,0,204800,55
instance-1,ucb,18,0,204800,-233
instance-1,ucb,19,0,204800,-240
instance-1,ucb,20,0,204800,262
instance-1,ucb,21,0,204800,195
instance-1,ucb,22,0,204800,402
instance-1,ucb,23,0,204800,316
instance-1,ucb,24,0,204800,-321
instance-1,ucb,25,0,204800,-88
instance-1,ucb,26,0,204800,-192
instance-1,ucb,27,0,204800,445
instance-1,ucb,28,0,204800,-39
instance-1,ucb,29,0,204800,-126
instance-1,ucb,30,0,204800,-19
instance-1,ucb,31,0,204800,371
instance-1,ucb,32,0,204800,183
instance-1,ucb,33,0,204800,33
instance-1,ucb,34,0,204800,90
instance-1,ucb,35,0,204800,-407
instance-1,ucb,36,0,204800,-9
instance-1,ucb,37,0,204800,38
instance-1,ucb,38,0,204800,7
instance-1,ucb,39,0,204800,-7
instance-1,ucb,40,0,204800,21
instance-1,ucb,41,0,204800,-64
instance-1,ucb,42,0,204800,184
instance-1,ucb,43,0,204800,328
instance-1,ucb,44,0,204800,902
instance-1,ucb,45,0,204800,-73
instance-1,ucb,46,0,204800,190
instance-1,ucb,47,0,204800,67
instance-1,ucb,48,0,204800,104
instance-1,ucb,49,0,204800,52
instance-1,kl-ucb,0,0,50,5
instance-1,kl-ucb,1,0,50,4
instance-1,kl-ucb,2,0,50,3
instance-1,kl-ucb,3,0,50,6
instance-1,kl-ucb,4,0,50,8
instance-1,kl-ucb,5,0,50,9
instance-1,kl-ucb,6,0,50,4
instance-1,kl-ucb,7,0,50,-2
instance-1,kl-ucb,8,0,50,4
instance-1,kl-ucb,9,0,50,0
instance-1,kl-ucb,10,0,50,5
instance-1,kl-ucb,11,0,50,3
instance-1,kl-ucb,12,0,50,3
instance-1,kl-ucb,13,0,50,3
instance-1,kl-ucb,14,0,50,2
instance-1,kl-ucb,15,0,50,9
instance-1,kl-ucb,16,0,50,0
instance-1,kl-ucb,17,0,50,11
instance-1,kl-ucb,18,0,50,0
instance-1,kl-ucb,19,0,50,-3
instance-1,kl-ucb,20,0,50,0
instance-1,kl-ucb,21,0,50,1
instance-1,kl-ucb,22,0,50,8
instance-1,kl-ucb,23,0,50,-4
instance-1,kl-ucb,24,0,50,7
instance-1,kl-ucb,25,0,50,3
instance-1,kl-ucb,26,0,50,7
instance-1,kl-ucb,27,0,50,5
instance-1,kl-ucb,28,0,50,0
instance-1,kl-ucb,29,0,50,-3
instance-1,kl-ucb,30,0,50,4
instance-1,kl-ucb,31,0,50,2
instance-1,kl-ucb,32,0,50,3
instance-1,kl-ucb,33,0,50,2
instance-1,kl-ucb,34,0,50,4
instance-1,kl-ucb,35,0,50,4
instance-1,kl-ucb,36,0,50,6
instance-1,kl-ucb,37,0,50,3
instance-1,kl-ucb,38,0,50,-4
instance-1,kl-ucb,39,0,50,2
instance-1,kl-ucb,40,0,50,9
instance-1,kl-ucb,41,0,50,1
instance-1,kl-ucb,42,0,50,1
instance-1,kl-ucb,43,0,50,3
instance-1,kl-ucb,44,0,50,1
instance-1,kl-ucb,45,0,50,6
instance-1,kl-ucb,46,0,50,1
instance-1,kl-ucb,47,0,50,0
instance-1,kl-ucb,48,0,50,-2
instance-1,kl-ucb,49,0,50,-2
